Rk,Pos,Name,Age,W,L,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP
1,SP,Joaquin Andujar,31,20,14,3.34,36,36,0,12,4,0,261.1,218,104,97,20,70,13,147,7,4,6,1052,3.52,1.102
2,SP,Dave LaPoint*,24,12,10,3.96,33,33,0,2,1,0,193.0,205,94,85,9,77,8,130,1,3,15,827,3.24,1.461
3,SP,Danny Cox,24,9,11,4.03,29,27,0,1,1,0,156.1,171,81,70,9,54,6,70,7,4,2,668,3.79,1.439
4,SP,Kurt Kepshire,24,6,5,3.30,17,16,0,2,2,0,109.0,100,47,40,7,44,4,71,0,2,5,453,3.51,1.321
5,SP,John Stuper,27,3,5,5.28,15,12,2,0,0,0,61.1,73,39,36,4,20,2,19,2,0,1,272,4.07,1.516
6,SP,Bob Forsch,34,2,5,6.02,16,11,2,1,0,0,52.1,64,38,35,6,19,0,21,0,0,5,233,4.55,1.586
7,CL,Bruce Sutter,31,5,7,1.54,71,0,63,0,0,45,122.2,109,26,21,9,23,4,77,1,0,2,477,3.05,1.076
8,RP,Ricky Horton*,24,9,4,3.44,37,18,7,1,1,1,125.2,140,53,48,14,39,2,76,1,6,5,537,3.96,1.424
9,RP,Neil Allen,26,9,6,3.55,57,1,18,0,0,3,119.0,105,54,47,6,49,9,66,0,0,6,495,3.55,1.294
10,RP,Jeff Lahti,27,4,2,3.72,63,0,19,0,0,1,84.2,69,36,35,6,34,12,45,2,0,0,353,3.90,1.217
11,RP,Dave Rucker*,26,2,3,2.10,50,0,15,0,0,0,73.0,62,23,17,0,34,2,38,1,0,1,304,3.17,1.315
12,,Dave Von Ohlen*,25,1,0,3.12,27,0,12,0,0,1,34.2,39,13,12,0,8,3,19,0,1,1,141,2.36,1.356
13,,Ralph Citarella,26,0,1,3.63,10,2,2,0,0,0,22.1,20,9,9,0,7,2,15,3,0,1,95,2.77,1.209
14,,Rick Ownbey,26,0,3,4.74,4,4,0,0,0,0,19.0,23,13,10,1,8,0,11,0,0,0,88,3.56,1.632
15,,Kevin Hagen,24,1,0,2.45,4,0,1,0,0,0,7.1,9,2,2,0,1,0,2,0,0,0,31,2.63,1.364
16,,Ken Dayley*,25,0,2,18.00,3,2,1,0,0,0,5.0,16,10,10,1,5,0,0,0,0,0,32,8.37,4.200
17,,Andy Hassler*,32,1,0,11.57,3,0,1,0,0,0,2.1,4,3,3,2,2,1,1,0,0,0,13,15.63,2.571